Rank,Jockey,Wins,2nds,3rds,Stakes,Starts,G&L,SR
1,W_Kennedy,80,46,38,"$3,895,367",423,14,5.29
2,M_McNab,72,65,54,"$2,488,137",383,2,5.32
3,J_Doyle,63,69,64,"$3,079,045",550,6,8.73
4,O_Bosson,56,30,21,"$2,798,640",213,8,3.8
5,C_Grylls,50,44,55,"$2,634,532",409,4,8.18
6,A_Comignaghi,46,55,39,"$1,473,055",327,2,7.11
7,L_Allpress,44,39,40,"$1,514,332",360,2,8.18
8,S_Spratt,37,40,36,"$1,919,945",364,4,9.84
9,K_Asano,37,34,30,"$1,223,717",354,2,9.57
10,J_Fawcett,37,31,20,"$1,104,920",306,1,8.27
11,S_Weatherley,35,35,27,"$1,577,180",281,2,8.03
12,L_Sutherland_(a),33,25,29,"$1,235,170",339,3,10.27
13,J_Parkes,30,15,11,"$798,665",185,2,6.17
14,K_Williams,29,27,46,"$841,025",274,1,9.45
15,K_Hercock,28,31,36,"$1,038,385",323,0,11.54
16,N_Parmar_(a),28,25,21,"$1,033,325",267,1,9.54
17,M_Hashizume,28,20,36,"$1,075,667",336,1,12.0
18,C_Barnes,23,24,26,"$983,782",349,2,15.17
19,V_Colgan,22,27,26,"$1,974,010",238,2,10.82
20,R_Elliot,22,18,16,"$1,541,715",169,3,7.68
21,E_Nicholas_(a),19,25,21,"$583,010",195,0,10.26
22,M_Cameron,19,23,23,"$1,168,620",237,4,12.47
23,J_Riddell,18,26,19,"$839,215",166,1,9.22
24,S_Wynne,18,12,21,"$554,837",163,0,9.06
25,C_Campbell,17,20,17,"$469,550",173,0,10.18
26,D_Tait_(a),16,10,13,"$391,735",125,0,7.81
27,C_Butler_(a),15,8,12,"$443,065",111,0,7.4
28,T_Newman,14,27,21,"$590,490",252,1,18.0
29,J_Kamaruddin,13,22,14,"$551,995",224,0,17.23
30,C_Dell,13,12,15,"$499,890",155,1,11.92
31,K_Chowdhoory,12,17,24,"$420,805",203,0,16.92
32,Mereana_Hudson,12,12,20,"$411,275",207,0,17.25
33,L_Callaway,12,10,8,"$328,885",160,0,13.33
34,J_Allen_(a),12,7,8,"$415,380",117,0,9.75
35,J_Chung_(a),11,24,20,"$553,932",254,1,23.09
36,L_Douglas_(a),10,13,13,"$317,910",143,0,14.3
