Position,Horse,Trainer,Jockey,Track,Date,Distance,Condition,Prize,Class,WGT,Pos_800_400,Margin,Rating,Odds
8-15,2. Platinum Invador (NZ) (15),L.M.Latta,R.Elliot (a0),E FM R4,10 JUN 23,3200M,Good 4,$400K,G2 BRISBANE CUP,58kg,13th / 14th,7.53L,102,$51
5-8,6. Nod Of The Head (NZ) (5),L.M.Latta,R.Maloney,DOOM R8,07 JUN 23,1350M,Good 4,$38K,CL6-SW,57.5kg,7th / 5th,5.35L,82,$4.4
12-14,6. Nod Of The Head (NZ) (7),L.M.Latta,C.Williams,E FM R2,27 MAY 23,1400M,Good 4,$85K,CL6,58kg,9th / 8th,5.02L,83,$26
9-13,2. Platinum Invador (NZ) (5),L.M.Latta,R.Maloney,E FM R3,27 MAY 23,2400M,Good 4,$200K,G3 PREM CUP,59kg,11th / 8th,6.03L,103,$41
5-16,6. Nod Of The Head (NZ) (11),L.M.Latta,.J.Lloyd,DOOM R3,13 MAY 23,1350M,Good 4,$85K,BM80,59kg,8th / 9th,1.5L,83,$26
4-17,Platinum Invador (NZ) (9),L.M.Latta,L.G.Innes,ELLS R9,13 MAR 21,3200M,Good,$468K,G1 AUCKLAND CUP,56kg,-,2.8L,-,$8
4-18,Platinum Invador (NZ) (2),L.M.Latta,R.Elliot (anull),ELLS R8,20 FEB 21,2400M,Good,$93.6K,G2 AVONDALE CUP,54.5kg,-,1.3L,-,$6
10-11,Miss Sentimental (NZ) (1),L.M.Latta,L.J.Allpress,TREN R5,14 MAR 20,1600M,Good,$67.1K,G3 CUDDLE STKS,56.5kg,-,4.5L,-,$15
3-17,Platinum Invador (NZ) (6),L.M.Latta,L.G.Innes,ELLS R9,07 MAR 20,3200M,Good,$479.7K,G1 AUCKLAND CUP,56kg,-,0.2L,-,$4.2
2-18,Platinum Invador (NZ) (7),L.M.Latta,L.G.Innes,ELLS R7,15 FEB 20,2400M,Good,$95.9K,G2 AVONDALE CUP,59kg,-,0.1L,-,$5.3
11-14,Platinum Invador (NZ) (13),L.M.Latta,L.G.Innes,NPLY R7,01 FEB 20,1800M,Good,$76.7K,G3 TARANAKI CUP,56kg,-,5.4L,-,$11
5-6,Miss Sentimental (NZ) (1),L.M.Latta,.B.McDonald,ELLS R1,25 JAN 20,2200M,Good,$95.9K,KARAKA CUP,60kg,-,4.2L,-,$4
1-13,Platinum Invador (NZ) (13),L.M.Latta,L.G.Innes,ELLS R8,01 JAN 20,2400M,Good,$191.8K,G3 C OF AUCK CUP,55.5kg,-,-,-,$6.2
2-15,Platinum Invador (NZ) (4),L.M.Latta,R.J.Hannam,AWAP R6,21 DEC 19,2300M,Heavy,$95.3K,G3 MNWATU CUP,53kg,-,-,-,$4.2
1-12,Miss Sentimental (NZ) (3),L.M.Latta,-,WGUI R7,30 NOV 19,2040M,Good,$47.6K,Listed WANGANUI CUP,53.5kg,-,-,-,$8.1
3-12,Platinum Invador (NZ) (2),L.M.Latta,R.J.Hannam,WGUI R7,30 NOV 19,2040M,Good,$47.6K,Listed WANGANUI CUP,53kg,-,1.1L,-,$0
4-11,Miss Sentimental (NZ) (4),L.M.Latta,-,AWAP R8,14 NOV 19,1550M,Soft,$33.3K,HCP,51kg,-,2.5L,-,$19
8-11,Platinum Invador (NZ) (10),L.M.Latta,R.J.Hannam,AWAP R8,14 NOV 19,1550M,Soft,$33.3K,HCP,54kg,-,7.6L,-,$0
5-8,Platinum Invador (NZ) (2),L.M.Latta,R.J.Hannam,TREN R8,26 OCT 19,1600M,Heavy,$66.7K,G3 THOMPSON HCP,53kg,-,2.5L,-,$0
13-16,Platinum Invador (NZ) (2),L.M.Latta,-,HAWE R6,12 OCT 19,1400M,Soft,$28.5K,RATING 82,57kg,-,5.7L,-,$0
11-13,Miss Sentimental (NZ) (10),L.M.Latta,L.J.Allpress,HAST R8,05 OCT 19,2040M,Good,$238.2K,G1 LIVAMOL CLASSIC,55.5kg,-,15.7L,-,$30
5-8,Miss Sentimental (NZ) (3),L.M.Latta,L.J.Allpress,HAST R2,21 SEP 19,2000M,Good,$38.1K,OPEN HCP,56.5kg,-,3.5L,-,$0
11-12,Miss Sentimental (NZ) (5),L.M.Latta,L.J.Allpress,HAST R7,31 AUG 19,1600M,Good,$38.1K,HCP,53kg,-,8.1L,-,$0
7-12,Miss Sentimental (NZ) (8),L.M.Latta,C.J.Grylls,TE R R6,17 AUG 19,1200M,Heavy,$95.3K,G2 FOXBRIDGE,56.5kg,-,3.6L,-,$50
14-17,7. Platinum Invador (NZ) (14),L.M.Latta,.K.Riddell,RAND R7,06 APR 19,2400M,Soft 7,$2.1M,G1 ATC DERBY,56.5kg,16th / 14th,15.2L,97,$61
8-9,3. Platinum Invador (NZ) (2),L.M.Latta,B.Shinn,RHIL R3,30 MAR 19,2000M,Heavy 10,$202K,G2 TULLOCH,56kg,5th / 6th,8.9L,99,$8
1-18,Miss Sentimental (NZ) (2),L.M.Latta,L.J.Allpress,TREN R8,16 MAR 19,2400M,Soft,$381.2K,G1 NZ OAKS,56.5kg,-,-,-,$21
2-16,Home By Midnight (NZ) (13),L.M.Latta,.Parkes,ELLS R9,09 MAR 19,3200M,Heavy,$476.5K,G1 AUCKLAND CUP,56kg,-,2L,-,$5
3-18,Platinum Invador (NZ) (11),L.M.Latta,C.W.Johnson,ELLS R9,02 MAR 19,2400M,Good,$953.1K,G1 NZ DERBY,56.5kg,-,1.7L,-,$13
9-13,Miss Sentimental (NZ) (13),L.M.Latta,.L.Waddell,HAST R7,27 FEB 19,2100M,Soft,$95.3K,G2 LOWLAND STKS,56.5kg,-,4.5L,-,$10
