Position,Horse,Trainer,Jockey,Track,Date,Distance,Condition,Prize,Class,WGT,Pos_800_400,Margin,Rating,Odds
7-18,14. Cheval D'or (NZ) (17),A.W.Pike,M.J.McNab,E FM R8,03 JUN 23,2200M,Good 4,$700K,G1 QLD OAKS,56.5kg,6th / 4th,6.49L,84,$15
1-6,Babylon Berlin (6),A.W.Pike,-,TE R R3,04 MAR 23,1200M,Good 4,$93.1K,G3 KINGS PLATE,54kg,-,-,-,$1.1
2-12,Babylon Berlin (9),A.W.Pike,-,TE R R8,11 FEB 23,1400M,Good 4,$279.3K,G1 BCD GRP SPRINT,57kg,-,4.5L,-,$8.5
1-11,Not Guilty (NZ),A.W.Pike,M.J.McNab,TE R R3,11 FEB 23,1200M,Good,$46.5K,RATING 75,59kg,-,-,-,$3.5
2-11,Ruach (NZ),A.W.Pike,.K.Riddell,TE R R2,18 JAN 23,1500M,Good,$13K,RATING 75,58kg,-,0.2L,-,$7
2-11,Babylon Berlin (8),A.W.Pike,-,TREN R8,14 JAN 23,1200M,Good 4,$325.8K,G1 TELEGRAPH,56.5kg,-,0.4L,-,$3.7
2-10,Babylon Berlin (2),A.W.Pike,-,TE R R7,01 JAN 23,1200M,Good,$279.3K,G1 SIS RAILWAY,54kg,-,0.2L,-,$8.2
2-10,Babylon Berlin (8),A.W.Pike,K.Hannan (anull),PUKE R6,03 DEC 22,1200M,Good,$51.8K,HCP,56.5kg,-,1L,-,$3.7
1-7,Letzbeglam,A.W.Pike,-,PUKE R8,19 NOV 22,1100M,Heavy,$103.7K,G3 COUNTIES BOWL,53kg,-,-,-,$3.2
13-14,2. Catalyst (NZ) (13),A.W.Pike,D.M.Lane,M V R7,03 SEP 22,1200M,Soft 6,$176K,Listed CHAUTAUQUA,59kg,14th / 14th,7.1L,105,$41
1-12,Surely Sacred (NZ),A.W.Pike,M.Chadwick (anull),HVLY R1,13 JUL 22,1800M,Good,$277.1K,RATING 80,55.5kg,-,-,-,$17
11-14,10. Letzbeglam (2),A.W.Pike,K.McEvoy,E FM R9,11 JUN 22,1300M,Good 4,$200K,G2 DANE RIPPER,55.5kg,6th / 5th,3.45L,85,$8.5
9-11,9. Babylon Berlin (5),A.W.Pike,B.E.Thompson,E FM R8,04 JUN 22,1200M,Good 4,$250K,G2 MORETON CUP,54.5kg,4th / 3rd,6.6L,100,$6.5
5-11,11. Letzbeglam (4),A.W.Pike,C.J.Grylls,E FM R8,04 JUN 22,1200M,Good 4,$250K,G2 MORETON CUP,53kg,9th / 9th,3.4L,83,$8
2-8,5. Bentayga (NZ) (7),A.W.Pike,K.Wilson-Taylor,DOOM R5,01 JUN 22,1640M,Soft 5,$35K,CL5,54.5kg,2nd / 1st,0.75L,69,$10
13-18,1. Tutukaka (NZ) (8),A.W.Pike,.M.Orman,E FM R8,28 MAY 22,2400M,Good 4,$1M,G1 QLD DERBY,57kg,3rd / 6th,14L,80,$18
10-11,7. Khufu (2),A.W.Pike,B.E.Thompson,SCPT R8,22 MAY 22,1100M,Synth,$24K,BM62,58.5kg,1st / 1st,6L,62,$3.8
6-10,5. Bentayga (NZ) (1),A.W.Pike,.P.Byrne,SCPT R8,18 MAY 22,1600M,Synth,$35K,BM70,59kg,6th / 3rd,4.7L,70,$4.6
4-8,1. Rudyard (NZ) (5),A.W.Pike,L.G.Innes,SCPT R6,18 MAY 22,1400M,Synth,$50K,2Y HCP,58.5kg,8th / 8th,4.4L,-,$5
10-16,10. Slipper Island (10),A.W.Pike,L.G.Innes,E FM R5,14 MAY 22,1200M,Soft 6,$250K,G2 CHAMPAGNE CLSS,57kg,11th / 12th,8.55L,-,$19
12-15,1. Babylon Berlin (10),A.W.Pike,.B.McDonald,E FM R6,14 MAY 22,1200M,Soft 7,$150K,Listed BRIGHT SHADOW,59kg,10th / 11th,10.3L,100,$3.6
3-15,21. Letzbeglam (13),A.W.Pike,L.G.Innes,E FM R6,14 MAY 22,1200M,Soft 7,$150K,Listed BRIGHT SHADOW,54kg,8th / 4th,1.15L,78,$21
7-14,2. Tutukaka (NZ) (9),A.W.Pike,N.Rawiller,E FM R7,14 MAY 22,2143M,Heavy 8,$250K,G3 ROUGH HABIT,57kg,14th / 13th,9L,80,$10
14-14,13. Ruach (NZ) (1),A.W.Pike,O.P.Bosson,E FM R7,14 MAY 22,2143M,Heavy 8,$250K,G3 ROUGH HABIT,57kg,6th / 14th,89.35L,70,$18
16-16,11. Dimaggio Joe (NZ) (16),A.W.Pike,N.Rawiller,E FM R5,14 MAY 22,1200M,Soft 6,$250K,G2 CHAMPAGNE CLSS,57kg,10th / 7th,13.35L,-,$16
4-7,3. Not Guilty (NZ) (5),A.W.Pike,L.G.Innes,SCPT R7,11 MAY 22,1400M,Synth,$35K,CL1,58.5kg,1st / 2nd,2.7L,66,$2.35
2-5,Tutukaka (NZ) (4),A.W.Pike,L.G.Innes,AVON R5,25 APR 22,1400M,Heavy,$11.3K,3Y-SWP,58.5kg,-,0.8L,-,$1.3
1-11,Lebanese Trader (7),A.W.Pike,.Parkes,TREN R2,19 MAR 22,1400M,Good,$37.7K,MAAT,57.5kg,-,-,-,$9.3
3-9,Lebanese Trader (2),A.W.Pike,M.J.McNab,WGUI R3,24 FEB 22,1200M,Soft,$11.3K,RATING 65,58.5kg,-,1.9L,-,$3.6
