Rank,Trainer,Wins,2nds,3rds,Stakes,Starts,G&L,SR
1,Mark_Walker_&_Sam_Bergerson,100,74,69,"$5,149,887",547,13,5.47
2,Stephen_Marsh,56,54,45,"$3,144,210",449,7,8.02
3,Tony_Pike,37,28,27,"$1,553,625",215,4,5.81
4,Robbie_Patterson,34,19,23,"$1,592,490",141,5,4.15
5,Lance_O'Sullivan_&_Andrew_Scott,33,25,18,"$1,801,512",189,4,5.73
6,Lisa_Latta,26,34,29,"$1,546,980",315,5,12.12
7,Michael_&_Matthew_Pitman,23,31,35,"$692,912",284,0,12.35
8,Andrew_Carston,23,30,20,"$697,650",334,0,14.52
9,Andrew_Forsman,21,24,23,"$1,231,385",198,1,9.43
10,Allan_Sharrock,21,13,11,"$828,635",93,1,4.43
11,Michael_Moroney_&_Pam_Gerard,20,12,10,"$964,030",162,1,8.1
12,Kevin_Myers,18,20,20,"$655,735",191,0,10.61
13,Ralph_Manning,17,14,9,"$418,545",139,0,8.18
14,Roger_James_&_Robert_Wellwood,16,17,11,"$1,650,982",128,4,8.0
15,Peter_Didham,16,8,12,"$410,495",104,0,6.5
16,Lance_Noble,16,7,10,"$970,350",69,4,4.31
17,Terri_Rae,16,6,12,"$442,765",73,0,4.56
18,Fraser_Auret,14,15,5,"$287,962",100,0,7.14
19,Cody_Cole,13,14,11,"$456,520",96,1,7.38
20,Shane_Kennedy_&_Anna_Furlong,13,9,13,"$396,870",109,0,8.38
21,Peter_&_Dawn_Williams,13,7,8,"$1,090,665",54,1,4.15
22,Ben_&_Ryan_Foote,12,15,10,"$564,670",93,1,7.75
23,Kelvin_Tyler,12,6,11,"$372,760",136,1,11.33
24,Team_Rogerson,11,9,14,"$493,765",177,1,16.09
25,John_&_Karen_Parsons_&_Varma_Ramhit,10,7,7,"$323,605",111,0,11.1
26,Kenny_Moore,10,3,9,"$250,605",52,0,5.2
27,John_Bary,9,18,20,"$491,720",139,0,15.44
28,Brian_&_Shane_Anderton,9,12,10,"$320,615",111,0,12.33
29,Shaune_Ritchie_&_Colm_Murray,9,9,14,"$563,715",103,1,11.44
30,Roydon_Bergerson,9,9,5,"$295,000",69,1,7.67
31,Bill_Thurlow,9,3,7,"$223,080",64,0,7.11
32,John_Blackadder,8,15,9,"$279,500",120,0,15.0
33,Ken_Rae_&_Krystal_Williams,8,11,12,"$314,430",132,0,16.5
34,Bruce_Wallace_&_Grant_Cooksley,8,8,4,"$648,515",63,3,7.88
35,Mark_Oulaghan,8,6,7,"$433,125",56,3,7.0
